Ip,ASN,Break
103.232.241.2,AS59193,
72.14.195.128,AS15169,
142.250.228.81,AS15169,
142.250.67.46,AS15169,0
125.18.176.145,AS9498,
116.119.57.102,AS55536,
209.85.251.159,AS15169,
142.250.195.46,AS15169,0
66.250.250.201,AS174,
154.54.88.17,AS174,
72.14.212.77,AS15169,
108.170.244.241,AS15169,
209.85.247.109,AS15169,
172.253.62.139,AS15169,0
66.250.250.9,AS174,
154.54.12.106,AS174,
66.110.56.139,AS6453,
216.239.59.168,AS15169,
142.251.163.100,AS15169,0
66.28.3.113,AS174,
66.110.96.62,AS6453,
142.251.227.116,AS15169,
142.251.163.100,AS15169,
